name	type	start_time	duration	text
ESP to MCU decoded	packet	4.353055	0.001384	SEND(0x22) | CMD=01 29 A1 | PAY=00 F4 01 F4 01 00 | RAW=A5 22 01 0A 00 78 01 29 A1 00 00 F4 01 F4 01 00
MCU to ESP decoded	packet	4.386635	0.001103	ACK(0x12) | CMD=01 29 A1 | PAY= | RAW=A5 12 01 04 00 78 01 29 A1 00
ESP to MCU decoded	packet	4.725608	0.001385	SEND(0x22) | CMD=01 29 A1 | PAY=00 F4 01 F4 01 00 | RAW=A5 22 02 0A 00 77 01 29 A1 00 00 F4 01 F4 01 00
MCU to ESP decoded	packet	4.735974	0.001104	ACK(0x12) | CMD=01 29 A1 | PAY= | RAW=A5 12 02 04 00 77 01 29 A1 00
MCU to ESP decoded	packet	4.738484	0.003832	SEND(0x22) | CMD=01 40 41 | PAY=01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 02 01 | RAW=A5 22 00 1C 00 52 01 40 41 00 01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 02 01
ESP to MCU decoded	packet	4.771793	0.000864	ERR(0x52) | CMD=01 40 41 | PAY= | RAW=A5 52 00 04 00 81 01 40 41 01
ESP to MCU decoded	packet	4.806577	0.00095	SEND(0x22) | CMD=01 E2 A5 | PAY=00 | RAW=A5 22 03 05 00 A8 01 E2 A5 00 00
MCU to ESP decoded	packet	4.834382	0.001122	ACK(0x12) | CMD=01 E2 A5 | PAY= | RAW=A5 12 03 04 00 B9 01 E2 A5 00
ESP to MCU decoded	packet	4.846546	0.000864	SEND(0x22) | CMD=01 41 41 | PAY= | RAW=A5 22 04 04 00 AD 01 41 41 00
MCU to ESP decoded	packet	4.885653	0.003829	ACK(0x12) | CMD=01 41 41 | PAY=01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 02 01 | RAW=A5 12 04 1C 00 5D 01 41 41 00 01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 02 01
MCU to ESP decoded	packet	7.720914	0.003829	SEND(0x22) | CMD=01 40 41 | PAY=01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 00 01 | RAW=A5 22 01 1C 00 53 01 40 41 00 01 00 02 00 00 FF 01 00 00 01 00 01 FF FF 00 02 2E 10 00 00 01 01 00 01
ESP to MCU decoded	packet	7.730093	0.000864	ERR(0x52) | CMD=01 40 41 | PAY= | RAW=A5 52 01 04 00 80 01 40 41 01
ESP to MCU decoded	packet	8.252195	0.001384	SEND(0x22) | CMD=01 29 A1 | PAY=00 F4 01 F4 01 00 | RAW=A5 22 05 0A 00 74 01 29 A1 00 00 F4 01 F4 01 00
MCU to ESP decoded	packet	8.266689	0.001103	ACK(0x12) | CMD=01 29 A1 | PAY= | RAW=A5 12 05 04 00 74 01 29 A1 00
MCU to ESP decoded	packet	9.710792	0.003829	SEND(0x22) | CMD=01 40 41 | PAY=01 00 02 00 00 FF 01 00 00 01 00 02 B5 00 00 02 2E 10 00 00 01 01 00 01 | RAW=A5 22 02 1C 00 9A 01 40 41 00 01 00 02 00 00 FF 01 00 00 01 00 02 B5 00 00 02 2E 10 00 00 01 01 00 01
ESP to MCU decoded	packet	9.720051	0.000863	ERR(0x52) | CMD=01 40 41 | PAY= | RAW=A5 52 02 04 00 7F 01 40 41 01
