Time [s],Channel 0,Channel 1
0.000000000,0,0
0.701404600,0,1
0.701404800,0,0
1.261601400,0,1
1.784901600,1,1
2.253890600,0,1
2.253923000,1,1
2.303712200,0,1
2.303729600,1,1
2.303798800,0,1
2.303807400,1,1
2.303885400,0,1
2.303911400,1,1
2.303920000,0,1
2.303963200,1,1
2.303972000,0,1
2.304049800,1,1
2.304058400,0,1
2.304075800,1,1
2.304084400,0,1
2.304136400,1,1
2.304145000,0,1
2.304179600,1,1
2.304188200,0,1
2.304222800,1,1
2.304231600,0,1
2.304309400,1,1
2.304318000,0,1
2.304344000,1,1
2.304352600,0,1
2.304361400,1,1
2.304370000,0,1
2.304387200,1,1
2.304404600,0,1
2.304422000,1,1
2.304439200,0,1
2.304456600,1,1
2.304465200,0,1
2.304473800,1,1
2.322002200,1,0
2.322019400,1,1
2.322088800,1,0
2.322097400,1,1
2.322175400,1,0
2.322184000,1,1
2.322210000,1,0
2.322253200,1,1
2.322262000,1,0
2.322339800,1,1
2.322348600,1,0
2.322357200,1,1
2.322400600,1,0
2.322426400,1,1
2.322435200,1,0
2.322513000,1,1
2.322521800,1,0
2.322556400,1,1
2.322565200,1,0
2.322599600,1,1
2.322608400,1,0
2.322617000,1,1
2.322625800,1,0
2.322686200,1,1
2.322695000,1,0
2.322712200,1,1
2.322721000,1,0
2.322772800,1,1
2.322781600,1,0
2.322859400,1,1
2.322868200,1,0
2.322946000,1,1
2.322954800,1,0
2.322972000,1,1
2.322980800,1,0
2.323032600,1,1
2.323041400,1,0
2.323050000,1,1
2.323058800,1,0
2.323119200,1,1
2.323128000,1,0
2.323205800,1,1
2.323214600,1,0
2.323223200,1,1
2.323240600,1,0
2.323292400,1,1
2.323301200,1,0
2.323309800,1,1
2.323327200,1,0
2.323344400,1,1
2.323370400,1,0
2.323379000,1,1
2.323387800,1,0
2.323405000,1,1
2.323422400,1,0
2.323465600,1,1
2.323474400,1,0
2.323517600,1,1
2.323535000,1,0
2.323552200,1,1
2.323561000,1,0
2.323578200,1,1
2.323604200,1,0
2.323612800,1,1
2.323621600,1,0
2.323638800,1,1
2.323647600,1,0
2.323656200,1,1
2.323673600,1,0
2.323690800,1,1
2.323708200,1,0
2.323725400,1,1
2.323734200,1,0
2.323751400,1,1
2.323777400,1,0
2.323786000,1,1
2.323794800,1,0
2.323812000,1,1
2.323820800,1,0
2.323829400,1,1
2.323846800,1,0
2.323864000,1,1
2.323881400,1,0
2.323898600,1,1
2.323907400,1,0
2.323985200,1,1
2.323994000,1,0
2.324019800,1,1
2.324028600,1,0
2.324071800,1,1
2.324080600,1,0
2.324097800,1,1
2.324106400,1,0
2.324158400,1,1
2.324167000,1,0
2.324245000,1,1
2.324253600,1,0
2.324331600,1,1
2.324340200,1,0
2.324348800,1,1
2.324357600,1,0
2.324366200,1,1
2.324375000,1,0
2.324418200,1,1
2.324426800,1,0
2.324444000,1,1
2.324452800,1,0
2.324504800,1,1
2.324513400,1,0
2.324591400,1,1
2.324600000,1,0
2.324677800,1,1
2.324686600,1,0
2.324695200,1,1
2.324721200,1,0
2.324764400,1,1
2.324773200,1,0
2.324790400,1,1
2.324799200,1,0
2.324851000,1,1
2.324859800,1,0
2.324937600,1,1
2.324946400,1,0
2.325024200,1,1
2.325033000,1,0
2.325110800,1,1
2.325119600,1,0
2.325128200,1,1
2.325137000,1,0
2.325171400,1,1
2.325206200,1,0
2.325223400,1,1
2.325232200,1,0
2.325240800,1,1
2.325258200,1,0
2.325284000,1,1
2.326264000,0,1
2.326281400,1,1
2.326350600,0,1
2.326359200,1,1
2.326437200,0,1
2.326445800,1,1
2.326463200,0,1
2.326515000,1,1
2.326523800,0,1
2.326601600,1,1
2.326610200,0,1
2.326618800,1,1
2.326627600,0,1
2.326636200,1,1
2.326644800,0,1
2.326688200,1,1
2.326696800,0,1
2.326731400,1,1
2.326740000,0,1
2.326774600,1,1
2.326783400,0,1
2.326800600,1,1
2.326809200,0,1
2.326861200,1,1
2.326869800,0,1
2.326878600,1,1
2.326887200,0,1
2.326947800,1,1
2.326956400,0,1
2.327034200,1,1
2.327043000,0,1
2.327120800,1,1
2.327129400,0,1
2.327138200,1,1
2.327146800,0,1
2.327164000,1,1
2.327172800,0,1
2.327190000,1,1
2.327216000,0,1
2.327224600,1,1
2.327233400,0,1
2.327250600,1,1
2.327285200,0,1
2.327293800,1,1
2.341989000,1,0
2.342006400,1,1
2.342075600,1,0
2.342084200,1,1
2.342162200,1,0
2.342170800,1,1
2.342196800,1,0
2.342240000,1,1
2.342248800,1,0
2.342326600,1,1
2.342335400,1,0
2.342344000,1,1
2.342387400,1,0
2.342413200,1,1
2.342422000,1,0
2.342499800,1,1
2.342508600,1,0
2.342543200,1,1
2.342551800,1,0
2.342586400,1,1
2.342595200,1,0
2.342603800,1,1
