
Time [s],Channel 0,Channel 1
0.000000000,0,0
8.639233200,1,1
8.639233400,0,0
8.639234400,1,1
8.639235200,0,0
8.639235400,1,1
8.639237400,0,0
8.639237600,1,1
8.639239200,0,0
8.639239400,1,1
8.639251800,0,1
8.639252000,0,0
8.640337800,1,1
8.640352800,0,1
8.640353200,0,0
8.682143400,1,1
8.682143600,1,0
8.682143800,0,0
8.682165400,1,0
8.682165600,1,1
8.682165800,0,1
8.682167600,0,0
8.682185400,1,1
8.682185600,0,1
8.682185800,1,1
8.682186000,0,1
8.682187600,0,0
8.682198800,1,1
8.682199200,0,1
8.682200400,0,0
8.682214600,1,1
8.682214800,0,1
8.682215800,0,0
8.682219200,1,0
8.682219400,0,0
8.682237000,1,1
8.682237200,0,0
8.736404800,1,0
9.259788800,1,1
9.728779000,1,0
9.728811400,1,1
9.778600800,1,0
9.778618200,1,1
9.778687400,1,0
9.778696000,1,1
9.778773800,1,0
9.778799800,1,1
9.778808600,1,0
9.778851800,1,1
9.778860400,1,0
9.778938400,1,1
9.778947000,1,0
9.778964200,1,1
9.778973000,1,0
9.779024800,1,1
9.779033600,1,0
9.779068200,1,1
9.779076800,1,0
9.779111400,1,1
9.779120000,1,0
9.779198000,1,1
9.779206600,1,0
9.779232600,1,1
9.779241200,1,0
9.779249800,1,1
9.779258600,1,0
9.779275800,1,1
9.779293200,1,0
9.779310400,1,1
9.779327800,1,0
9.779345000,1,1
9.779353600,1,0
9.779362400,1,1
9.796869800,0,1
9.796887000,1,1
9.796956400,0,1
9.796965000,1,1
9.797043000,0,1
9.797051600,1,1
9.797077600,0,1
9.797120800,1,1
9.797129600,0,1
9.797207600,1,1
9.797216200,0,1
9.797224800,1,1
9.797268200,0,1
9.797294200,1,1
9.797302800,0,1
9.797380800,1,1
9.797389600,0,1
9.797424000,1,1
9.797432800,0,1
9.797467400,1,1
9.797476200,0,1
9.797484800,1,1
9.797493400,0,1
9.797554000,1,1
9.797562800,0,1
9.797580000,1,1
9.797588800,0,1
9.797640600,1,1
9.797649400,0,1
9.797727200,1,1
9.797736000,0,1
9.797813800,1,1
9.797822600,0,1
9.797839800,1,1
9.797848600,0,1
9.797900600,1,1
9.797909200,0,1
9.797917800,1,1
9.797926600,0,1
9.797987200,1,1
9.797995800,0,1
9.798073800,1,1
9.798082600,0,1
9.798091000,1,1
9.798108400,0,1
9.798160400,1,1
9.798169200,0,1
9.798177800,1,1
9.798195200,0,1
9.798212400,1,1
9.798238400,0,1
9.798247000,1,1
9.798255800,0,1
9.798273000,1,1
9.798290400,0,1
9.798333600,1,1
9.798342400,0,1
9.798385600,1,1
9.798403000,0,1
9.798420400,1,1
9.798429000,0,1
9.798446400,1,1
9.798472400,0,1
9.798481000,1,1
9.798489800,0,1
9.798507000,1,1
9.798515800,0,1
9.798524200,1,1
9.798541800,0,1
9.798559000,1,1
9.798576400,0,1
9.798593600,1,1
9.798602400,0,1
9.798619600,1,1
9.798645600,0,1
9.798654200,1,1
9.798663000,0,1
9.798680200,1,1
9.798689000,0,1
9.798697600,1,1
9.798715000,0,1
9.798732200,1,1
9.798749600,0,1
9.798766800,1,1
9.798775600,0,1
9.798853600,1,1
9.798862200,0,1
9.798888200,1,1
9.798897000,0,1
9.798940200,1,1
9.798949000,0,1
9.798966200,1,1
9.798975000,0,1
9.799026800,1,1
9.799035600,0,1
9.799113400,1,1
9.799122200,0,1
9.799200000,1,1
9.799208800,0,1
9.799217400,1,1
9.799226200,0,1
9.799234800,1,1
9.799243400,0,1
9.799286600,1,1
9.799295400,0,1
